Feature_Name,Score
Sparc,0.3081611711058909
Anxa2,0.3022825454793687
Clu,0.2997317304701608
Igfbp7,0.2968431071863722
Msn,0.29341279562763045
Id3,0.293174196583617
Col4a2,0.28630527224349134
Cst3,0.28031182145410627
Cd24a,0.27819741536953924
Prlr,0.2769160544396154
Krt8,0.2711506373999306
Ldha,0.27060099420036643
S100a16,0.2634948864291493
Serinc3,0.2557742984959108
Higd1a,0.2470844991377965
Gc,0.24682789011550232
Arpc1b,0.24013964694284828
Lpl,0.23921603274915837
Hhex,0.23644474406592542
Zfp36l1,0.23421717709937617
Sez6l,0.23404730714511857
Myl12a,0.23258776974207418
Vim,0.23248167330380065
Rhoc,0.23093308246793853
Col4a1,0.22899421600494563
Id1,0.2285178276428108
Cdh5,0.21652319430654599
Cd151,0.21606669770414255
Pecam1,0.21585052245034175
Srgn,0.21311343554882
Sox4,0.21247558542268008
Ctsz,0.2114746498898974
Ucn3,0.2086031375982289
Basp1,0.20812086154374132
Serpinh1,0.20722899043753262
H2-D1,0.20718785853160915
Eef1a2,0.20497858929986013
Sema7a,0.20490474959578497
Mafb,0.20329102233208962
Pmepa1,0.20292015229505767
Tspan8,0.20189240383056317
Flt1,0.2003555351713926
Egfl7,0.19770803302040063
Krt18,0.19570241427727364
Npc2,0.19454696341034072
Pcsk1,0.19304016843900484
Irx1,0.19296561841302706
Prdx1,0.1924676027049057
Cd9,0.19157542382789972
Ctla2a,0.1904856054995565
Ahnak,0.18978872726828477
Etv1,0.18923674770676513
Eng,0.18779427115409142
Ifitm3,0.18745341494360224
Vgf,0.18697605123132277
Cdh1,0.18660149913207746
Ednrb,0.18517513131008334
Anxa3,0.18516740477491256
Rbms1,0.18317741092777196
Esam,0.1828800554228467
Ier3,0.181507502615895
Junb,0.17940726379209604
Fscn1,0.178499038756323
Plvap,0.1778676718166965
Esm1,0.17637869440922627
Arg1,0.17596894289381915
Nrp1,0.17507534487881982
Pde4b,0.1748841334967155
Cd44,0.17475842418572007
Fam159b,0.17428454172644603
Gng11,0.17341220669214774
Pdlim1,0.17337306175851852
Litaf,0.17328351240677664
Ly6e,0.17308765357217837
Ets1,0.17176280807310862
Cald1,0.17136173396377474
Cd93,0.17122182333038616
Nfib,0.16903731036333625
Cd34,0.1678808521829791
Flt4,0.1673788516763417
Smtn,0.16736969656751066
Hk1,0.16730413306417402
S1pr1,0.16596879290934652
Plpp1,0.1656075050426722
Tcf4,0.16520713781350205
Flna,0.1648290405448214
S100a11,0.16474222975123443
Csrp1,0.1645303830530649
Cd14,0.1641208140876773
Efna1,0.1635817457992319
Ppp1r18,0.16226858988360915
Sgk1,0.16184651352570878
Podxl,0.16161117676918213
Kdr,0.1603425009641426
Tm4sf1,0.15854156246149786
Emcn,0.1583927411275199
Egr1,0.15786777763063942
Dusp1,0.15783121272767886
Mmrn2,0.15633508707278
Slc16a3,0.1560508169938628
Tpm1,0.15523972417799703
Igfbp3,0.15521475634991155
Mfge8,0.15475955115692352
Irx2,0.15466798830152628
Plpp3,0.15441312345734337
Fxyd5,0.15335360396985864
Procr,0.15223993112076162
Itga5,0.15170498369146612
Btg1,0.1516268445777893
Rhob,0.1509522142087505
Thbs1,0.15092575505136274
Robo4,0.14904092016942938
Gpihbp1,0.14873252849761753
Sptbn1,0.14844525561884625
Ly6a,0.1471638226886367
Fmnl3,0.14695718115084233
Myct1,0.14682542738619153
Mcam,0.14676914988240064
Sema6d,0.1464673721214944
Tpm4,0.14530348989748543
Sox18,0.14464337586053455
Serping1,0.14463460187908517
Lgals3,0.1442317477615518
Plin2,0.14352688112386325
Slc2a1,0.14319153999750656
Ier2,0.14247927126811621
Cmtm3,0.1424433603289894
H2-Q7,0.14242108003402532
Kcnk3,0.14228871561084278
Epas1,0.14172773999190458
Cyba,0.14152975401658185
H2-Eb1,0.1414012735224328
Ramp3,0.14076457271677922
Fam46a,0.13988743538084503
Fam129b,0.13846948623664979
Nid1,0.13775327296442086
Plat,0.1376339596650884
Ctla2b,0.13644622517819238
Dpp6,0.13595989684063392
Tmem204,0.1353559808532383
Sema3f,0.13399669003861803
Cadm1,0.1336106971469908
Ptp4a3,0.13345561892433855
Fstl1,0.1332413043961278
S100a6,0.13309972655201374
Arap3,0.13270005904404103
Mef2c,0.13224583156162817
Ctsh,0.13213328816879244
Ptrf,0.13169972426177878
Ugt2b34,0.13155551975931257
Tie1,0.13154758141922018
Tagln2,0.13142911137004898
Wwtr1,0.13101307313232802
Tuba1c,0.13071438162706617
Adamts1,0.1305155847583639
Mcl1,0.12994555669368157
