Feature_Name,Score
Sparc,0.3081611711058909
Anxa2,0.3022825454793687
Clu,0.2997317304701608
Igfbp7,0.2968431071863722
Msn,0.29341279562763045
Id3,0.293174196583617
Col4a2,0.28630527224349134
Cst3,0.28031182145410627
Cd24a,0.27819741536953924
Prlr,0.2769160544396154
Krt8,0.2711506373999306
Ldha,0.27060099420036643
S100a16,0.2634948864291493
Serinc3,0.2557742984959108
Higd1a,0.2470844991377965
Gc,0.24682789011550232
Arpc1b,0.24013964694284828
Lpl,0.23921603274915837
Hhex,0.23644474406592542
Zfp36l1,0.23421717709937617
