v1,v2
233,472
233,512
233,773
233,446
233,792
233,724
233,364
233,643
233,96
233,1008
233,1043
233,130
233,336
233,706
233,426
233,555
233,649
233,945
233,144
233,309
233,1019
233,515
233,797
233,968
233,264
330,500
330,518
330,963
330,927
330,853
330,242
330,869
330,97
330,543
330,116
330,413
330,496
330,118
330,828
330,846
330,890
330,725
330,767
330,163
330,197
330,21
330,992
330,187
330,19
330,385
330,842
330,231
330,894
330,509
770,1033
770,217
770,105
770,600
770,421
770,1013
770,618
770,962
770,967
770,834
770,404
770,530
770,359
770,6
770,840
770,820
770,789
770,109
770,278
770,754
770,522
770,63
770,662
770,854
770,497
770,355
770,467
770,602
770,616
770,471
770,738
770,654
770,645
770,480
770,553
18,383
18,167
18,89
18,33
18,13
18,481
18,16
18,955
18,984
18,472
18,512
18,773
18,741
18,446
18,792
18,1057
18,1025
18,564
18,692
18,15
18,947
18,545
18,483
18,555
18,488
18,617
18,794
18,54
18,442
18,144
18,340
18,277
18,350
18,1039
18,208
18,371
529,383
529,667
529,557
529,621
529,572
529,1032
529,778
529,222
529,481
529,339
529,624
529,450
529,444
529,310
529,458
529,492
529,1051
529,507
529,864
529,848
529,462
529,741
529,620
529,402
529,147
529,1010
529,798
529,283
529,334
529,564
529,260
529,692
529,120
529,606
529,405
529,178
529,272
529,617
529,793
529,887
529,874
529,1006
529,470
529,719
529,122
529,833
529,442
529,1039
1033,770
1033,148
1033,105
1033,655
1033,315
1033,52
1033,1013
1033,756
1033,908
1033,618
1033,962
1033,979
1033,634
1033,126
1033,125
1033,404
1033,530
1033,359
1033,49
1033,974
1033,802
1033,486
1033,656
1033,6
1033,953
1033,531
1033,335
1033,127
1033,437
1033,109
1033,714
1033,754
1033,53
1033,565
1033,900
1033,427
1033,497
1033,1028
1033,616
1033,471
1033,654
1033,645
1033,48
1033,82
1033,3
1033,553
481,383
481,167
481,221
481,323
481,667
481,557
481,572
481,778
481,222
481,18
481,529
481,339
481,450
481,444
481,492
481,864
481,462
481,741
481,620
481,402
481,1010
481,798
481,283
481,334
481,564
481,692
481,120
481,483
481,405
481,555
481,178
481,272
481,617
481,874
481,470
481,719
481,122
481,442
481,1039
876,27
876,478
876,256
876,230
876,527
876,774
876,1015
876,601
876,145
876,39
876,552
876,411
876,625
876,815
876,745
876,684
876,646
876,465
876,988
876,332
876,68
876,526
876,772
876,409
876,38
876,914
876,379
876,690
876,124
876,777
876,449
876,69
876,342
876,250
876,286
876,474
876,487
876,775
876,786
876,841
876,206
339,221
339,323
339,667
339,557
339,572
339,778
339,222
339,529
339,481
339,444
339,492
339,864
339,462
339,741
339,620
339,147
339,1010
339,798
339,283
339,334
339,120
339,606
339,405
339,555
339,272
339,874
339,470
339,719
339,122
339,442
209,233
209,737
209,585
209,32
209,386
209,126
209,958
209,974
209,802
209,656
209,724
209,364
209,643
209,531
209,1008
209,130
209,336
209,706
209,426
209,109
209,649
209,53
209,513
209,497
209,1019
209,738
209,654
209,797
209,968
209,264
209,702
814,528
814,577
814,98
814,632
814,615
814,780
814,929
