v1,v2
1170,565
1170,945
1170,592
1170,795
1170,1098
1170,111
1170,461
1170,283
1170,597
1170,1276
1170,0
1170,443
1170,89
1170,149
1170,1093
1170,793
1170,462
342,219
342,193
342,907
342,214
342,203
342,740
342,946
342,163
342,501
342,115
342,168
342,824
342,561
342,356
342,151
342,502
342,503
342,311
342,1073
342,1226
342,206
342,719
342,1173
342,72
342,845
342,1184
342,771
342,1189
342,703
342,735
380,314
380,104
380,498
380,95
380,458
380,1200
380,63
380,211
380,668
380,365
380,389
380,88
380,552
380,348
380,990
380,323
380,796
380,408
380,964
380,127
380,881
380,1057
380,99
380,926
380,524
380,841
380,1248
380,172
380,836
380,184
380,416
380,821
380,980
773,1175
773,882
773,510
773,330
773,145
773,1110
773,13
773,666
773,430
773,1006
773,966
773,815
773,674
773,94
773,943
773,571
773,6
773,506
773,207
773,813
773,81
773,924
773,14
773,1054
773,208
773,403
773,504
773,698
773,759
957,727
957,851
957,60
957,113
957,473
957,1265
957,804
957,1131
957,1253
957,499
957,993
957,1214
957,298
957,884
957,341
957,973
957,724
957,215
957,377
957,637
957,450
957,299
957,719
957,877
957,1203
957,425
957,102
957,845
957,827
957,279
957,800
957,911
957,170
957,1090
957,1185
957,1260
957,703
957,854
957,486
957,454
957,73
957,595
382,922
382,975
382,619
382,872
382,579
382,406
382,1004
382,932
382,1120
382,364
382,972
382,797
382,477
382,284
382,636
382,765
382,856
382,296
382,448
382,1279
382,1101
382,155
382,1119
382,371
382,1066
382,355
382,643
382,875
382,2
382,648
382,664
382,846
382,1104
382,1095
382,417
382,1068
382,64
36,95
36,1109
36,88
36,1151
36,755
36,731
36,497
36,1257
36,374
36,87
36,1040
36,1070
36,1031
36,1192
36,191
36,629
36,130
36,437
36,680
36,744
36,78
36,742
36,770
36,485
36,447
36,246
36,801
36,600
36,701
498,314
498,380
498,1238
498,211
498,365
498,389
498,591
498,991
498,1041
498,429
498,348
498,990
498,785
498,1030
498,788
498,763
498,127
498,559
498,441
498,693
498,599
498,291
498,1248
498,384
498,265
498,836
498,171
498,416
498,821
300,219
300,937
300,907
300,867
300,925
300,1114
300,718
300,129
300,853
300,622
300,60
300,783
300,1044
300,523
300,113
300,270
300,1265
300,900
300,1146
300,717
300,576
300,489
300,479
300,298
300,1244
300,898
300,190
300,897
300,1122
300,678
300,54
747,332
747,1231
747,689
747,192
747,705
747,257
747,137
747,244
747,752
747,598
747,650
747,223
747,62
747,411
747,1136
747,586
747,1219
747,45
747,787
747,1008
747,1036
747,539
747,1154
747,623
747,1084
747,905
747,1014
747,245
747,874
866,684
866,914
866,772
866,882
866,475
866,1143
866,1161
866,330
866,1110
866,13
866,1086
866,1019
866,1091
866,520
866,815
866,428
866,674
866,1140
866,6
866,799
866,997
866,813
866,81
866,252
866,983
866,1137
866,256
866,769
866,504
866,1023
866,759
866,308
317,869
317,1170
317,17
317,58
317,10
317,319
317,494
317,34
317,84
317,1153
317,1174
317,349
317,545
317,276
317,158
317,660
317,1027
317,592
317,795
317,1098
317,111
317,283
317,597
317,1276
317,443
317,149
317,793
317,71
317,462
937,219
937,300
937,907
937,867
937,925
937,1114
937,718
937,129
937,853
937,203
937,622
937,60
937,783
