Feature_Name,Score
PNLIPRP1,0.4681314091181066
PMEPA1,0.44614616567303056
TACSTD2,0.44488166538201135
PNLIPRP2,0.43615217249426674
CD24,0.432589729639115
KLK1,0.4297656126546858
PCSK2,0.42775355798575454
TMEM176B,0.42615681247620874
KRT7,0.41976146383440405
PRSS3,0.4183887452264652
KRT18,0.39974173038461913
CDC42EP1,0.39902224026345756
GP2,0.39248649488290255
MGST1,0.38742627811680697
ZFP36L1,0.3873384133200952
NLRP1,0.3794661129559369
RNASE1,0.37677283332289324
GC,0.36780181485593655
CTRL,0.36483998340723245
MUC13,0.36051046841664025
