v1,v2
483,1108
483,174
483,3147
483,1143
483,696
483,305
483,1555
483,2487
483,519
483,2036
483,25
483,2748
483,242
483,1952
483,534
483,3537
483,1736
483,403
483,869
483,2770
483,3098
483,568
483,1579
483,1097
483,1536
483,3546
483,1744
483,1999
483,1061
483,2373
483,2480
483,1450
483,2108
483,220
483,3551
483,828
483,1877
483,2440
483,3385
483,3153
483,1868
3130,3409
3130,2387
3130,3571
3130,2834
3130,917
3130,2955
3130,3419
3130,85
3130,3136
3130,827
3130,3077
3130,3092
3130,1763
3130,3508
3130,410
3130,1526
3130,958
3130,2086
3130,1812
3130,2232
3130,198
3130,3052
3130,1009
3130,1591
3130,2581
3130,2846
3130,584
3130,3196
3130,2101
3130,910
515,153
515,255
515,650
515,820
515,533
515,2821
515,1471
515,812
515,1951
515,1133
515,2996
515,540
515,2829
515,1779
515,1014
515,3206
515,491
515,2324
515,1840
515,2367
515,2893
515,228
515,189
515,3502
515,560
515,3326
515,638
515,1733
515,1027
515,2626
515,916
515,1098
515,607
515,2469
515,50
515,161
515,1353
515,2556
515,1378
515,2006
515,2356
88,2790
88,2862
88,2349
88,651
88,913
88,3288
88,2110
88,1302
88,1026
88,3185
88,2859
88,286
88,830
88,3238
88,1634
88,635
88,1192
88,449
88,1731
88,2695
88,2812
88,2880
88,1253
88,2227
88,2671
88,3071
88,2586
88,1988
88,2666
88,330
88,1020
88,300
88,271
88,2209
88,1883
88,2698
88,3355
88,1194
88,3297
88,2531
88,1402
88,105
88,2550
88,2050
88,2111
88,2189
246,742
246,1681
246,860
246,2428
246,2271
246,1196
246,1302
246,1495
246,1026
246,2859
246,3152
246,2922
246,3387
246,1025
246,2970
246,2085
246,3423
246,188
246,3222
246,3318
246,1541
246,709
246,1177
246,993
246,1601
246,3164
246,3581
246,960
246,581
246,3310
153,515
153,1923
153,255
153,820
153,2821
153,426
153,812
153,1951
153,1133
153,2996
153,543
153,838
153,1779
153,1014
153,3206
153,1023
153,491
153,2367
153,2893
153,228
153,189
153,560
153,1733
153,238
153,1707
153,2626
153,916
153,1098
153,873
153,607
153,1353
153,195
153,502
153,3163
2610,234
2610,2560
2610,2142
2610,2777
2610,3575
2610,2584
2610,1924
2610,2222
2610,1411
2610,1260
2610,3563
2610,972
2610,2169
2610,2177
2610,1038
2610,729
2610,3381
2610,551
2610,2419
2610,2992
2610,2244
2610,2315
2610,2124
2610,2856
2610,353
2610,2891
2610,2643
2610,2823
2610,1277
60,2334
60,1411
60,2059
60,3192
60,3563
60,150
60,1392
60,3201
60,3198
60,972
60,2169
60,34
60,2648
60,2954
60,41
60,2567
60,3017
60,327
60,304
60,940
60,2315
60,2198
60,2807
60,2302
60,353
60,392
60,3475
60,2944
60,98
60,3578
60,1066
60,722
2913,923
2913,895
2913,1180
2913,1546
2913,3548
2913,3511
2913,1762
2913,1213
2913,783
2913,1517
2913,2749
2913,3237
2913,1721
2913,1311
2913,3287
2913,3337
2913,3270
2913,822
2913,1817
2913,399
2913,307
2913,690
2913,538
2913,529
2913,754
2913,3052
2913,1689
2913,490
2913,2118
2913,3114
2913,3507
2913,2162
2913,1683
2913,466
2913,2373
2913,1778
2913,1164
2258,5
2258,255
2258,650
2258,2688
2258,2825
2258,1452
2258,533
2258,3007
2258,2965
2258,1290
2258,3501
2258,594
2258,2850
2258,2019
2258,1629
2258,2067
2258,863
2258,1651
2258,3061
2258,362
2258,3502
2258,2206
2258,2635
2258,1622
2258,3326
2258,326
2258,2469
2258,50
2258,172
2258,816
2258,1933
742,246
742,1681
742,860
742,2428
742,2271
742,1196
742,1495
742,3152
742,3
742,2922
742,3387
742,1025
742,2970
742,3423
742,188
742,3222
742,3318
742,709
742,3526
742,3358
742,1177
742,993
742,1601
742,3164
742,3581
742,960
742,2
742,581
742,3310
234,2610
234,858
234,2560
234,3183
234,545
234,340
234,3575
234,1411
234,15
234,2169
234,729
234,3049
234,97
234,3311
234,857
234,686
234,2095
234,2756
234,1676
234,814
234,2813
234,2315
234,415
234,159
234,3194
234,2057
234,2304
234,1273
234,2361
234,1081
234,350
234,353
234,2891
234,2546
234,1195
234,1527
2933,3231
2933,3574
2933,875
2933,1438
2933,1714
2933,6
2933,2435
2933,759
2933,287
2933,1389
2933,513
2933,2890
2933,2031
2933,3458
2933,2299
2933,2099
2933,700
2933,770
2933,2176
2933,3512
2933,1882
2933,1511
2933,61
2933,199
2933,1647
2933,2530
2933,1701
2933,1397
2933,3088
3409,3130
3409,2387
3409,2834
3409,917
3409,2955
3409,694
3409,3419
3409,85
3409,827
3409,3077
3409,45
3409,3092
3409,1763
3409,3508
3409,410
3409,2442
3409,1526
3409,2086
3409,1812
3409,2232
3409,198
3409,1043
3409,3052
3409,1009
3409,1591
3409,2581
3409,3416
3409,584
3409,3196
3409,2101
3409,910
858,234
858,2592
858,3575
858,1148
858,1107
858,2717
858,3374
858,840
858,3015
858,3049
858,97
858,1530
858,857
858,3018
858,1390
858,2456
858,2057
858,2304
858,1273
858,2361
858,1482
858,1081
858,470
858,2711
858,1195
858,465
858,739
858,1688
858,1527
2560,2610
2560,234
2560,3183
2560,2142
2560,2688
2560,545
2560,2825
2560,3575
2560,2584
2560,1411
2560,1260
2560,15
2560,123
2560,972
2560,2169
2560,2177
2560,3381
2560,3311
2560,1651
2560,2992
2560,2095
2560,2756
2560,1676
2560,2315
2560,415
2560,2124
2560,350
2560,2891
2560,2643
2560,1933
2560,2823
239,2142
239,2777
239,909
239,2428
239,1924
239,2222
239,2781
239,3137
239,2896
239,3503
239,972
239,1038
239,3285
239,3381
239,3523
239,551
239,194
239,3387
239,1853
239,450
239,2419
239,988
239,188
239,2244
239,570
239,3222
239,1065
239,2414
239,2198
239,2302
239,3517
239,2856
239,1850
239,3358
239,2902
239,1592
239,2342
239,2823
239,103
239,1277
3183,234
3183,2560
3183,545
3183,340
3183,2825
3183,3575
3183,15
3183,594
3183,97
3183,841
3183,1855
3183,3311
3183,863
3183,1651
3183,686
3183,2095
3183,2756
3183,1676
3183,415
3183,159
3183,2057
3183,2304
3183,1081
3183,2715
3183,3162
3183,350
3183,172
3183,2546
3183,1527
2106,58
2106,289
2106,746
