Feature_Name,Score
Msn,0.3997822659874042
Sparc,0.3659929417821024
Anxa2,0.36356593765322076
Flna,0.3621457134655901
Nfib,0.36004693025007706
Ero1lb,0.3486614510884696
Sox4,0.3438393501234871
Prss53,0.3415960090439243
Col4a1,0.33959029880866254
Cd44,0.3307558500877361
Tm4sf1,0.3245335293844649
Dsg2,0.3216948094665728
Anxa3,0.3195089816386978
Thbs1,0.3150828505095662
Basp1,0.31400094262859213
Abcc8,0.30097686236216736
Vim,0.3002241179734586
G6pc2,0.30017504608528833
Col4a2,0.29468988651345196
Eng,0.2946854783539661
Resp18,0.29451724917257005
Plvap,0.28915706297968935
Scara3,0.28864765994209307
Timp3,0.28177439165366236
Csrp1,0.28033454817003056
Ednrb,0.2802096449512872
Egfl7,0.27843928774435556
Cd14,0.2775602359180902
Serpinh1,0.27300250326813247
Cyr61,0.27209637898399297
Onecut2,0.2710323524125333
F3,0.2706811437818102
Serinc3,0.2704178740353482
Cdh5,0.27031731497304046
Klf6,0.2698608878229236
Gpx3,0.2690266983958862
Peg3,0.26415325140542567
Pecam1,0.2617007060668368
Esm1,0.26112194046645376
Fermt1,0.2602501685488261
Lcn2,0.2567140969022166
Sox9,0.25477677739019455
Cd93,0.2511536212567784
Sfn,0.2500573904920218
S1pr1,0.24953648055129563
Srgn,0.24913640420546246
Tnfrsf12a,0.24795805716324892
Flt1,0.2478934462577458
Esam,0.24659464228350858
Rbp4,0.2455847281888217
Rhob,0.24502716902435795
Tmem204,0.24457491794769126
Kdr,0.24388905905067348
Plscr1,0.24293403815808068
Card10,0.24280481455984493
Ahnak,0.24243519847356065
Cyba,0.24155161534090208
Ets1,0.2415177232079162
Prss23,0.2391270831675052
Epas1,0.2375543273142382
Vgf,0.23714054667557116
Cp,0.23518912909871803
Dusp1,0.2347627897776179
Bicc1,0.23260745602835575
Id3,0.23209535481801646
Emcn,0.23172537588608177
Syt13,0.23148240305595325
Mmrn2,0.23079511568312183
Ankrd1,0.23059405017274281
Inhbb,0.23024461135632812
