Feature_Name,Score
GC,0.49981164551684154
CRYBA2,0.4964415867963381
COL18A1,0.4556997825551634
HADH,0.4535538057893165
IRX2,0.45259583737210685
PCSK1,0.4374883156128839
IFITM3,0.4309231539014018
TACSTD2,0.42552873151624304
MMP14,0.4240999644711878
C1QL1,0.4107365890647099
PMEPA1,0.40274422606956417
MAFA,0.3947710212763216
SOX4,0.3945295562050237
SERPING1,0.3943373471261915
KRT7,0.3931072637360229
SDC4,0.392304536545526
CDC42EP1,0.3904743549341334
FEV,0.3837198815500229
ZFP36L1,0.382068028419595
CD24,0.37638730712858237
